Atomic#,Symbol,ElementName,AtomicWeight,Ka1 ,Intensity,Ka2 ,Intensity,Kb1 ,Intensity,Kb2 ,Intensity,Kb3 ,Intensity,La1 ,Intensity,La2 ,Intensity,Lb1 ,Intensity,Lb2 ,Intensity,Lb3 ,Intensity,Lb4 ,Intensity,Lg1 ,Intensity,Lg2 ,Intensity,Lg3 ,Intensity,Ll,Intensity
71,Lu,Lutetium,174.96,54.0698,100,52.965,50,61.283,24.8,62.4797,9.5,61.1481,9.8,7.6555,100,7.6049,10,8.709,41,9.0489,17,8.843,6.7,8.6039,4,10.1434,5.5,10.4586,2,7.855,2,6.7491,5
72,Hf,Hafnium,178.49,55.7902,100,54.6114,50,63.234,25.1,64.3746,9.7,63.109,9.9,7.899,100,7.8446,10,9.0227,44,9.3473,19,9.1599,8,8.9039,4,10.5158,7.5,10.8324,4,8.137,2,6.9583,5.5
73,Ta,Tantalum,180.94,57.532,100,56.277,50,65.223,25.3,66.289,9.9,65.1134,9.9,8.1461,100,8.0879,10,9.3431,42,9.6518,20,9.4846,6.7,9.2108,4,10.8952,8.2,11.2151,2,8.426,2,7.17,4.5
74,W,Tungsten,183.85,59.31824,100,57.9817,50,67.2443,25.6,68.2209,10.1,67.1623,10,8.3976,100,8.3352,10,9.67235,42,9.9615,20,9.8173,6.6,9.5246,4,11.2859,6,11.6069,2.5,8.722,2,7.3844,4.5
75,Re,Rhenium,186.2,61.1403,100,59.7179,50,69.31,25.9,70.1682,10.3,69.2571,10.1,8.6525,100,8.5862,10,10.01,41,10.2752,19,10.1581,6.5,9.8455,4,11.6854,6,12.0078,2,9.024,2,7.6013,4.5
76,Os,Osmium,190.2,63.0005,100,61.4867,50,71.413,26.1,72.1286,10.5,71.3991,10.1,8.9117,100,8.841,10,10.3553,39,10.5985,19,10.5074,6.5,10.1738,4,12.0953,6,12.4182,2,9.334,2,7.8206,4.5
77,Ir,Iridium,192.22,64.8956,100,63.2867,50,73.5608,26.4,74.0996,10.7,73.5896,10.2,9.1751,100,9.0995,10,10.7083,38,10.9203,18,10.8653,6.5,10.5094,4,12.5126,6,12.8383,2,9.647,2,8.0423,4.5
78,Pt,Platinium,195.08,66.832,100,65.112,50,75.748,26.6,76.0785,10.9,75.8301,10.3,9.4423,100,9.3618,10,11.0707,36,11.2505,18.5,11.232,6,10.8526,4,12.942,7,13.2682,2.5,9.971,2,8.2664,6
79,Au,Gold,196.96,68.8037,100,66.9895,50,77.984,26.9,78.0623,11.1,78.1222,10.3,9.7133,100,9.628,10,11.4423,35,11.5847,17,11.6078,6,11.2036,4,13.3817,5.5,13.7083,1.5,10.305,2,8.4928,6
80,Hg,Mercury,200.59,70.819,100,68.895,50,80.253,27.2,0,0,0,0,9.9888,100,9.8976,10,11.8226,35,11.9241,20,11.9928,6.4,11.5626,4,13.8301,6,14.1588,2,10.647,2,8.7215,4
