


^Actinium,89,3,VI,1.26, 1.12, R
^Rhodium,45,4,VI,0.74, 0.6, RM
^Rhodium,45,5,VI,0.69, 0.55, 












^Rubidium,37,1,VI,1.66, 1.52, 
^Rubidium,37,1,VII,1.7, 1.56, 
^Rubidium,37,1,VIII,1.75, 1.61, 
^Rubidium,37,1,IX,1.77, 1.63, E
^Rubidium,37,1,X,1.8, 1.66, C
^Rubidium,37,1,XI,1.83, 1.69, C
^Rubidium,37,1,XII,1.86, 1.72, C
^Rubidium,37,1,XIV,1.97, 1.83, C






^Ruthenium,44,3,VI,0.82, 0.68, 
^Ruthenium,44,4,VI,0.76, 0.62, RM
^Ruthenium,44,5,VI,0.705, 0.565, ER
^Ruthenium,44,7,IV,0.52, 0.38, 
^Ruthenium,44,8,IV,0.5, 0.36, 












^Samarium,62,2,VII,1.36, 1.22, 
^Samarium,62,2,VIII,1.41, 1.27, 
^Samarium,62,2,IX,1.46, 1.32, 
^Samarium,62,3,VI,1.098, 0.958, R
^Samarium,62,3,VII,1.16, 1.02, E
^Samarium,62,3,VIII,1.219, 1.079, R
^Samarium,62,3,IX,1.272, 1.132, R
^Samarium,62,3,XII,1.38, 1.24, C






^Scandium,21,3,VI,0.885, 0.745, R*
^Scandium,21,3,VIII,1.01, 0.87, R*












^Selenium,34,-2,VI,1.84, 1.98, P
^Selenium,34,4,VI,0.64, 0.5, A
^Selenium,34,6,IV,0.42, 0.28, *
^Selenium,34,6,VI,0.56, 0.42, C






^Silicon,14,4,IV,0.4, 0.26, *
^Silicon,14,4,VI,0.54, 0.4, R*






^Silver,47,1,II,0.81, 0.67, 
^Silver,47,1,IV,1.14, 1.1, C
^Silver,47,1,IVSQ,1.16, 1.02, 
^Silver,47,1,V,1.23, 1.09, C
^Silver,47,1,VI,1.29, 1.15, C
^Silver,47,1,VII,1.36, 1.22, 
^Silver,47,1,VIII,1.42, 1.28, 
^Silver,47,2,IVSQ,0.93, 0.79, 
^Silver,47,2,VI,1.080.94, 1.12, 
^Silver,47,3,IVSQ,0.81, 0.67, R
^Silver,47,3,VI,0.89, 0.75, R






^Sodium,11,1,IV,1.13, 0.99, 
^Sodium,11,1,V,1.14, 1, 
^Sodium,11,1,VI,1.16, 1.02, 
^Sodium,11,1,VII,1.26, 1.12, 
^Sodium,11,1,VIII,1.32, 1.18, 
^Sodium,11,1,IX,1.38, 1.24, C
^Sodium,11,1,XII,1.53, 1.39, 












^Sulfur,16,-1,VI,1.7, 1.84, P
^Sulfur,16,4,VI,0.51, 0.37, A
^Sulfur,16,6,IV,0.26, 0.12, *
^Sulfur,16,6,VI,0.43, 0.29, C






^Tantalum,73,3,VI,0.86, 0.72, E
^Tantalum,73,4,VI,0.82, 0.68, E
^Tantalum,73,5,VI,0.78, 0.64, 
^Tantalum,73,5,VII,0.83, 0.69, 
^Tantalum,73,5,VIII,0.88, 0.74, 






^Technetium,43,4,VI,0.785, 0.645, RM
^Technetium,43,5,VI,0.74, 0.6, ER
^Technetium,43,7,IV,0.51, 0.37, 
^Technetium,43,7,VI,0.7, 0.56, A






^Tellurium,52,-2,VI,2.07, 2.21, P
^Tellurium,52,4,III,0.66, 0.52, 
^Tellurium,52,4,IV,0.8, 0.66, 
^Tellurium,52,4,VI,1.11, 0.97, 
^Tellurium,52,6,IV,0.57, 0.43, C
^Tellurium,52,6,VI,0.7, 0.56, *






^Terbium,65,3,VI,1.063, 0.923, R
^Terbium,65,3,VII,1.12, 0.98, E
^Terbium,65,3,VIII,1.18, 1.04, R
^Terbium,65,3,IX,1.235, 1.095, R
^Terbium,65,4,VI,0.9, 0.76, R
^Terbium,65,4,VIII,1.02, 0.88, 






^Thallium,81,1,VI,1.64, 1.5, R
^Thallium,81,1,VIII,1.73, 1.59, R
^Thallium,81,1,XII,1.84, 1.7, RE
^Thallium,81,3,IV,0.89, 0.75, 
^Thallium,81,3,VI,1.025, 0.885, R
^Thallium,81,3,VIII,1.12, 0.98, C






^Thorium,90,4,VI,1.08, 0.94, C
^Thorium,90,4,VIII,1.19, 1.05, RC
^Thorium,90,4,IX,1.23, 1.09, *
^Thorium,90,4,X,1.27, 1.13, E
^Thorium,90,4,XI,1.32, 1.18, C
^Thorium,90,4,XII,1.35, 1.21, C






^Thulium,69,2,VI,1.17, 1.03, 
^Thulium,69,2,VII,1.23, 1.09, 
^Thulium,69,3,VI,1.02, 0.88, R
^Thulium,69,3,VIII,1.134, 0.994, R
^Thulium,69,3,IX,1.192, 1.052, R






^Tin,50,4,IV,0.69, 0.55, R
^Tin,50,4,V,0.76, 0.62, C
^Tin,50,4,VI,0.83, 0.69, R*
^Tin,50,4,VII,0.89, 0.75, 
^Tin,50,4,VIII,0.95, 0.81, C






^Titanium,22,2,VI,1, 0.86, E
^Titanium,22,3,VI,0.81, 0.67, R*
^Titanium,22,4,IV,0.56, 0.42, C
^Titanium,22,4,V,0.65, 0.51, C
^Titanium,22,4,VI,0.745, 0.605, R*
^Titanium,22,4,VIII,0.88, 0.74, C






^Tungsten,74,4,VI,0.8, 0.66, RM
^Tungsten,74,5,VI,0.76, 0.62, R
^Tungsten,74,6,IV,0.56, 0.42, *
^Tungsten,74,6,V,0.65, 0.51, 
^Tungsten,74,6,VI,0.74, 0.6, *
















































^Uranium,92,3,VI,1.165, 1.025, R
^Uranium,92,4,VI,1.03, 0.89, 
^Uranium,92,4,VII,1.09, 0.95, E
^Uranium,92,4,VIII,1.14, 1, R*
^Uranium,92,4,IX,1.19, 1.05, 
^Uranium,92,4,XII,1.31, 1.17, E
^Uranium,92,5,VI,0.9, 0.76, 
^Uranium,92,5,VII,0.98, 0.84, E
^Uranium,92,6,II,0.59, 0.45, 
^Uranium,92,6,IV,0.66, 0.52, 
^Uranium,92,6,VI,0.87, 0.73, *
^Uranium,92,6,VII,0.95, 0.81, E
^Uranium,92,6,VIII,1, 0.86, 






^Vanadium,23,2,VI,0.93, 0.79, 
^Vanadium,23,3,VI,0.78, 0.64, R*
^Vanadium,23,4,V,0.67, 0.53, 
^Vanadium,23,4,VI,0.72, 0.58, R*
^Vanadium,23,4,VIII,0.86, 0.72, E
^Vanadium,23,5,IV,0.495, 0.355, R*
^Vanadium,23,5,V,0.6, 0.46, *
^Vanadium,23,5,VI,0.68, 0.54, 






^Xenon,54,8,IV,0.54, 0.4, 
^Xenon,54,8,VI,0.62, 0.48, 






^Ytterbium,70,2,VI,1.16, 1.02, 
^Ytterbium,70,2,VII,1.22, 1.08, E
^Ytterbium,70,2,VIII,1.28, 1.14, 
^Ytterbium,70,3,VI,1.008, 0.868, R*
^Ytterbium,70,3,VII,1.065, 0.925, E
^Ytterbium,70,3,VIII,1.125, 0.985, R
^Ytterbium,70,3,IX,1.182, 1.042, R






^Yttrium,39,3,VI,1.04, 0.9, R*
^Yttrium,39,3,VII,1.1, 0.96, 
^Yttrium,39,3,VIII,1.159, 1.019, R*
^Yttrium,39,3,IX,1.215, 1.075, R*






^Zinc,30,2,IV,0.74, 0.6, *
^Zinc,30,2,V,0.82, 0.68, *
^Zinc,30,2,VI,0.88, 0.74, R*
^Zinc,30,2,VIII,1.04, 0.9, C






^Zirconium,40,4,IV,0.73, 0.59, R
^Zirconium,40,4,V,0.8, 0.66, C
^Zirconium,40,4,VI,0.86, 0.72, R*
^Zirconium,40,4,VII,0.92, 0.78, *
^Zirconium,40,4,VIII,0.98, 0.84, *
^Zirconium,40,4,IX,1.03, 0.89, 





